0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:49:09 +0530] "GET /EV_Charging_Station_Finder/ViewAllStations.jsp HTTP/1.1" 200 20718
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:49:15 +0530] "GET /EV_Charging_Station_Finder/LoginAdmin?action=approvestation HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:49:15 +0530] "GET /EV_Charging_Station_Finder/AfterView.jsp HTTP/1.1" 200 18051
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:49:20 +0530] "GET /EV_Charging_Station_Finder/LoginAdmin?action=deletestation HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:49:20 +0530] "GET /EV_Charging_Station_Finder/ViewAllStations.jsp HTTP/1.1" 200 20718
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:49:25 +0530] "GET /EV_Charging_Station_Finder/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:49:41 +0530] "POST /EV_Charging_Station_Finder/LoginStation HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:49:50 +0530] "POST /EV_Charging_Station_Finder/LoginStation HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:49:50 +0530] "GET /EV_Charging_Station_Finder/menu2.jsp HTTP/1.1" 200 17343
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:49:54 +0530] "GET /EV_Charging_Station_Finder/LoginStation?action1=RegisterStation HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:49:58 +0530] "GET /EV_Charging_Station_Finder/LoginStation?action1=ViewStation HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:49:58 +0530] "GET /EV_Charging_Station_Finder/ViewStation.jsp HTTP/1.1" 200 18312
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:50:02 +0530] "GET /EV_Charging_Station_Finder/LoginStation?action1=UpdatePowerServlet HTTP/1.1" 302 -
